days,id,pb,pe,stop_day,turnover,year
693,000333.SZ,3.85,15.48,2019/01/04,0.64,3
242,000651.SZ,3.89,11.64,2019/01/04,0.96,1
487,000651.SZ,4.0,12.39,2019/01/04,1.06,2
581,000651.SZ,3.82,11.96,2019/01/04,1.18,3
1069,000651.SZ,3.36,10.35,2019/01/04,1.25,5
243,002597.SZ,3.62,11.32,2019/01/04,1.28,1
488,002597.SZ,4.18,15.0,2019/01/04,1.58,2
732,002597.SZ,4.03,18.86,2019/01/04,1.87,3
1189,002597.SZ,3.47,22.83,2019/01/04,2.26,5
243,600377.SH,1.95,12.08,2019/01/04,0.09,1
488,600377.SH,2.06,13.36,2019/01/04,0.11,2
732,600377.SH,2.07,14.47,2019/01/04,0.11,3
1220,600377.SH,1.97,13.99,2019/01/04,0.2,5
243,600660.SH,3.35,18.66,2019/01/04,0.51,1
488,600660.SH,3.36,18.85,2019/01/04,0.6,2
732,600660.SH,3.06,17.43,2019/01/04,0.59,3
1220,600660.SH,2.84,15.27,2019/01/04,0.85,5
243,601012.SH,3.89,16.92,2019/01/04,1.02,1
488,601012.SH,3.96,20.03,2019/01/04,1.11,2
731,601012.SH,3.86,24.54,2019/01/04,1.18,3
1200,601012.SH,4.07,39.97,2019/01/04,2.29,5
